Date, Close/Last, Volume, Open, High, Low
06/11/2020, $224.43, 26708160, $229.94, $232.89, $223.55
06/10/2020, $236.73, 20720710, $240.96, $241.21, $235.28
06/09/2020, $238.67, 27462870, $231.52, $239.77, $230.41
06/08/2020, $231.4, 15466500, $229.03, $231.55, $227.41
06/05/2020, $230.77, 16750440, $226.71, $231.35, $225.3105
06/04/2020, $226.29, 17041480, $229.56, $231.63, $224.61
06/03/2020, $230.16, 15380280, $232.11, $232.65, $228.53
06/02/2020, $232.72, 20919020, $230.94, $233, $226.56
06/01/2020, $231.91, 18223840, $224.59, $232.44, $223.5
05/29/2020, $225.09, 23322480, $225.2, $227.49, $222.88
05/28/2020, $225.46, 29423010, $224.3, $231.6332, $224
05/27/2020, $229.14, 34697550, $229.07, $230.56, $221.1347
05/26/2020, $232.2, 33178320, $239.77, $240.9, $231.67
05/22/2020, $234.91, 33925560, $231.51, $235.99, $228.74
05/21/2020, $231.39, 47782640, $234.72, $237.2, $231.2
05/20/2020, $229.97, 50162880, $223.5, $231.34, $223.19
05/19/2020, $216.88, 31843150, $213.27, $220.49, $212.83
05/18/2020, $213.19, 20167440, $212.15, $214.6445, $210.94
05/15/2020, $210.88, 19383150, $205.27, $211.34, $204.12
05/14/2020, $206.81, 17178950, $202.56, $206.93, $200.69
05/13/2020, $205.1, 20684560, $209.43, $210.78, $202.11
05/12/2020, $210.1, 14704650, $213.29, $215.275, $210
