Date,Open,High,Low,Close,Adj Close,Volume
2020-04-23,0.870000,1.050000,0.860000,0.940000,0.940000,14483900
2020-04-24,0.900000,0.920000,0.870000,0.890000,0.890000,4881900
2020-04-27,0.880000,0.920000,0.880000,0.920000,0.920000,18198500
2020-04-28,1.430000,1.520000,1.090000,1.120000,1.120000,100738300
2020-04-29,1.200000,1.200000,1.050000,1.110000,1.110000,17003000
2020-04-30,1.040000,1.150000,1.030000,1.120000,1.120000,9924800
2020-05-01,1.050000,1.110000,1.040000,1.080000,1.080000,5711700
2020-05-04,1.030000,1.080000,1.000000,1.080000,1.080000,5410900
2020-05-05,1.060000,1.070000,1.030000,1.050000,1.050000,4626100
2020-05-06,1.080000,1.080000,1.050000,1.070000,1.070000,4574900
2020-05-07,1.080000,1.080000,0.980000,1.010000,1.010000,5709600
2020-05-08,0.970000,1.010000,0.960000,1.010000,1.010000,4569500
2020-05-11,0.980000,1.150000,0.980000,1.120000,1.120000,14034700
2020-05-12,1.190000,1.190000,1.070000,1.090000,1.090000,8454500
2020-05-13,1.070000,1.100000,1.010000,1.090000,1.090000,5542200
2020-05-14,1.120000,1.290000,1.110000,1.190000,1.190000,23958300
2020-05-15,1.260000,1.480000,1.160000,1.480000,1.480000,25654700
2020-05-18,1.600000,1.970000,1.560000,1.750000,1.750000,54189100
2020-05-19,1.620000,1.660000,1.450000,1.530000,1.530000,18851900
2020-05-20,1.530000,1.530000,1.270000,1.380000,1.380000,16163300
2020-05-21,1.330000,1.520000,1.320000,1.450000,1.450000,10016200
2020-05-22,1.390000,1.540000,1.380000,1.510000,1.510000,6939700
2020-05-26,1.650000,1.750000,1.570000,1.640000,1.640000,15128900
2020-05-27,1.600000,1.650000,1.460000,1.620000,1.620000,8956600
2020-05-28,1.580000,1.640000,1.530000,1.600000,1.600000,4175300
2020-05-29,1.600000,1.600000,1.520000,1.600000,1.600000,4324300
2020-06-01,1.570000,1.730000,1.550000,1.660000,1.660000,6852500
2020-06-02,1.650000,1.670000,1.580000,1.640000,1.640000,4916500
2020-06-03,1.610000,1.620000,1.550000,1.560000,1.560000,6417500
2020-06-04,1.800000,1.830000,1.600000,1.690000,1.690000,21185400
2020-06-05,1.550000,1.580000,1.520000,1.550000,1.550000,8946900
2020-06-08,1.400000,1.480000,1.380000,1.400000,1.400000,10542400
2020-06-09,1.480000,1.500000,1.450000,1.480000,1.480000,5566700
2020-06-10,1.600000,1.600000,1.500000,1.550000,1.550000,7794900
2020-06-11,1.530000,1.530000,1.390000,1.400000,1.400000,7412700
2020-06-12,1.450000,1.580000,1.380000,1.570000,1.570000,5861400
2020-06-15,1.500000,1.650000,1.450000,1.560000,1.560000,11777700
2020-06-16,1.590000,1.600000,1.520000,1.550000,1.550000,3811300
2020-06-17,1.560000,1.570000,1.480000,1.560000,1.560000,4890500
2020-06-18,1.510000,1.570000,1.490000,1.520000,1.520000,4812200
2020-06-19,1.480000,1.530000,1.450000,1.470000,1.470000,5493600
2020-06-22,1.470000,1.480000,1.430000,1.440000,1.440000,3726600
